[    0.0s] === run started 20260723_040657 ===
[  144.2s] CAMERA/LIDAR DISAGREE - lidar=2.33 m  camera=1.72 m  delta=-0.61 m  CAMERA SEES CLOSER - lidar may be missing this obstacle
[  144.7s] CAMERA/LIDAR DISAGREE - lidar=2.33 m  camera=1.72 m  delta=-0.60 m  CAMERA SEES CLOSER - lidar may be missing this obstacle
[  146.2s] CAMERA/LIDAR DISAGREE - lidar=2.33 m  camera=1.72 m  delta=-0.62 m  CAMERA SEES CLOSER - lidar may be missing this obstacle
[  147.7s] CAMERA/LIDAR DISAGREE - lidar=2.34 m  camera=1.72 m  delta=-0.62 m  CAMERA SEES CLOSER - lidar may be missing this obstacle
[  148.2s] CAMERA/LIDAR DISAGREE - lidar=2.34 m  camera=1.72 m  delta=-0.62 m  CAMERA SEES CLOSER - lidar may be missing this obstacle
[  148.7s] CAMERA/LIDAR DISAGREE - lidar=2.33 m  camera=1.72 m  delta=-0.61 m  CAMERA SEES CLOSER - lidar may be missing this obstacle
[  150.2s] CAMERA/LIDAR DISAGREE - lidar=2.33 m  camera=1.72 m  delta=-0.61 m  CAMERA SEES CLOSER - lidar may be missing this obstacle
[  150.7s] CAMERA/LIDAR DISAGREE - lidar=2.33 m  camera=1.72 m  delta=-0.61 m  CAMERA SEES CLOSER - lidar may be missing this obstacle
[  151.2s] CAMERA/LIDAR DISAGREE - lidar=2.33 m  camera=1.72 m  delta=-0.61 m  CAMERA SEES CLOSER - lidar may be missing this obstacle
[  151.7s] CAMERA/LIDAR DISAGREE - lidar=2.33 m  camera=1.72 m  delta=-0.61 m  CAMERA SEES CLOSER - lidar may be missing this obstacle
[  152.7s] CAMERA/LIDAR DISAGREE - lidar=2.33 m  camera=1.72 m  delta=-0.61 m  CAMERA SEES CLOSER - lidar may be missing this obstacle
[  153.2s] CAMERA/LIDAR DISAGREE - lidar=2.33 m  camera=1.72 m  delta=-0.61 m  CAMERA SEES CLOSER - lidar may be missing this obstacle
[  154.2s] CAMERA/LIDAR DISAGREE - lidar=2.33 m  camera=1.72 m  delta=-0.62 m  CAMERA SEES CLOSER - lidar may be missing this obstacle
[  154.7s] CAMERA/LIDAR DISAGREE - lidar=2.34 m  camera=1.72 m  delta=-0.62 m  CAMERA SEES CLOSER - lidar may be missing this obstacle
[  155.2s] CAMERA/LIDAR DISAGREE - lidar=2.33 m  camera=1.72 m  delta=-0.61 m  CAMERA SEES CLOSER - lidar may be missing this obstacle
[  155.7s] CAMERA/LIDAR DISAGREE - lidar=2.34 m  camera=1.72 m  delta=-0.62 m  CAMERA SEES CLOSER - lidar may be missing this obstacle
[  156.7s] CAMERA/LIDAR DISAGREE - lidar=2.33 m  camera=1.72 m  delta=-0.62 m  CAMERA SEES CLOSER - lidar may be missing this obstacle
