t,min_range,blocked,lidar_range,camera_range,agree,cmd_in_vx,cmd_in_vy,cmd_in_wz,cmd_out_vx,cmd_out_vy,cmd_out_wz,odom_x,odom_y
24.61,0.417,0,0.472,0.559,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.006,-0.003
24.81,0.106,0,0.472,0.559,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.003,-0.010
25.01,0.415,0,0.471,0.559,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.005,-0.006
25.21,0.417,0,0.471,0.559,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.004,-0.004
25.41,0.417,0,0.471,0.558,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.002,-0.001
25.61,0.106,0,0.471,0.558,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.002,-0.001
25.81,0.106,0,0.471,0.558,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,-0.003
26.01,0.417,0,0.472,0.559,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.004,-0.006
26.21,0.417,0,0.472,0.559,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.002,-0.005
26.41,0.415,0,0.471,0.559,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.003,-0.004
26.61,0.419,0,0.471,0.559,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.003,-0.004
26.81,0.106,0,0.471,0.559,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.005,-0.011
27.01,0.105,0,0.471,0.558,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.004,-0.011
27.21,0.105,0,0.471,0.558,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.007,-0.012
27.41,0.105,0,0.472,0.558,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.005,-0.009
27.61,0.417,0,0.472,0.558,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.005,-0.009
27.81,0.105,0,0.472,0.558,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.006,-0.008
28.01,0.417,0,0.471,0.558,1,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.002
28.21,0.417,0,0.471,0.558,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.003,-0.004
28.41,0.107,0,0.473,0.558,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.006,0.001
28.61,0.417,0,0.473,0.558,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.006,0.001
28.81,0.106,0,0.473,0.558,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.002,-0.006
29.01,0.415,0,0.471,0.559,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.006,-0.006
29.21,0.415,0,0.471,0.559,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.004,-0.002
29.41,0.106,0,0.472,0.558,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.004,-0.002
29.61,0.419,0,0.472,0.558,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.003,-0.005
29.81,0.106,0,0.472,0.558,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.004,-0.009
30.01,0.188,0,0.472,0.558,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.007,-0.001
30.21,0.188,0,0.472,0.558,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.003,-0.015
